CO_GRUPO;GRUPO
6006;ENGENHARIA (GRUPO IV) - ENGENHARIA DE BIOTECNOLOGIA
6007;ENGENHARIA (GRUPO IV) - ENGENHARIA INDUSTRIAL QUIMICA
6008;ENGENHARIA QUIMICA
6009;ENGENHARIA DE ALIMENTOS
6011;ENGENHARIA (GRUPO IV) - ENGENHARIA TEXTIL
6106;ENGENHARIA (GRUPO V) - ENGENHARIA DE MATERIAIS
6107;ENGENHARIA (GRUPO V) - ENGENHARIA FISICA
6108;ENGENHARIA (GRUPO V) - ENGENHARIA METALURGICA
6109;ENGENHARIA (GRUPO V) - ENGENHARIA DE MATERIAIS (MADEIRA)
6110;ENGENHARIA (GRUPO V) - ENGENHARIA DE MATERIAIS (PLASTICO)
6208;ENGENHARIA DE PRODUCAO
6209;ENGENHARIA (GRUPO VI) - ENGENHARIA DE PRODUCAO MECANICA
6210;ENGENHARIA (GRUPO VI) - ENGENHARIA DE PRODUCAO ELETRICA
6211;ENGENHARIA (GRUPO VI) - ENGENHARIA DE PRODUCAO QUIMICA
6213;ENGENHARIA (GRUPO VI) - ENGENHARIA DE PRODUCAO DE MATERIAIS
6214;ENGENHARIA (GRUPO VI) - ENGENHARIA DE PRODUCAO CIVIL
6306;ENGENHARIA
6307;ENGENHARIA AMBIENTAL
6308;ENGENHARIA (GRUPO VII) - ENGENHARIA INDUSTRIAL
6309;ENGENHARIA (GRUPO VII) - ENGENHARIA DE MINAS
6310;ENGENHARIA (GRUPO VII) - ENGENHARIA DE PETROLEO
6404;ENGENHARIA (GRUPO VIII) - ENGENHARIA AGRICOLA
6405;ENGENHARIA FLORESTAL
6406;ENGENHARIA (GRUPO VIII) - ENGENHARIA DE PESCA
6407;LETRAS - INGLES
6409;TECNOLOGIA EM GESTAO DA TECNOLOGIA DA INFORMACAO
